data,total
10/08/2024 14:47,58
10/08/2024 16:12,75.68
10/08/2024 16:20,26
10/08/2024 16:52,44
10/08/2024 17:29,75.9
10/08/2024 17:41,44
10/08/2024 17:42,33
10/08/2024 18:21,16.5
10/08/2024 18:33,35.2
10/08/2024 18:36,17.6
10/08/2024 18:37,22
10/08/2024 18:39,26.4
10/08/2024 18:57,82.5
10/08/2024 19:04,48
11/08/2024 07:43,14.3
11/08/2024 07:46,14.3
11/08/2024 07:55,45
11/08/2024 08:04,14.3
11/08/2024 08:04,18.7
11/08/2024 08:21,66.88
11/08/2024 08:24,90.09
11/08/2024 08:29,74.8
11/08/2024 08:39,39.6
11/08/2024 09:04,37.29
11/08/2024 09:10,42.9
11/08/2024 09:13,26.29
11/08/2024 09:26,74.8
11/08/2024 09:28,59.4
11/08/2024 09:35,84.59
11/08/2024 09:40,50.8
11/08/2024 09:40,23.1
11/08/2024 09:49,35.09
11/08/2024 09:57,39.6
11/08/2024 10:07,41.8
11/08/2024 10:07,57.2
11/08/2024 10:09,82.5
11/08/2024 10:10,29.48
11/08/2024 10:12,52.58
11/08/2024 10:28,25.3
11/08/2024 10:37,31.9
11/08/2024 10:39,41.8
11/08/2024 10:40,30.8
11/08/2024 10:47,56.1
11/08/2024 10:56,174.46
11/08/2024 11:03,35.2
11/08/2024 11:08,25.3
11/08/2024 11:28,48.4
11/08/2024 11:29,26.4
11/08/2024 12:34,25.3
11/08/2024 12:45,25.3
11/08/2024 12:52,27.5
13/08/2024 18:18,33
13/08/2024 18:21,31.9
13/08/2024 18:23,80.3
13/08/2024 18:28,39.6
13/08/2024 18:30,18.7
13/08/2024 18:39,78.1
13/08/2024 18:55,18.9
13/08/2024 18:56,10
13/08/2024 19:01,12.1
13/08/2024 19:09,58.3
14/08/2024 07:36,19.8
14/08/2024 07:36,53.9
14/08/2024 07:40,42.79
14/08/2024 08:11,39.6
14/08/2024 08:15,13.2
14/08/2024 08:46,15.4
14/08/2024 08:54,8.8
14/08/2024 08:54,91.19
14/08/2024 09:31,39.6
14/08/2024 09:32,15.4
14/08/2024 09:46,42.9
14/08/2024 09:47,28.49
14/08/2024 09:56,8
14/08/2024 09:57,8
14/08/2024 12:39,33
14/08/2024 13:20,98
14/08/2024 13:37,22
14/08/2024 13:46,20.9
14/08/2024 14:34,20.9
14/08/2024 14:44,18.7
14/08/2024 15:31,49
14/08/2024 15:36,39.6
14/08/2024 15:59,53.9
14/08/2024 16:13,30.8
14/08/2024 16:14,18.7
14/08/2024 16:22,7.7
14/08/2024 16:59,70.4
14/08/2024 16:59,71.5
14/08/2024 18:09,105.38
14/08/2024 18:34,20.9
14/08/2024 18:37,52.8
14/08/2024 18:49,83.6
14/08/2024 19:02,108
14/08/2024 19:09,80
14/08/2024 19:15,84.7
14/08/2024 19:17,70.4
14/08/2024 19:40,52.8
14/08/2024 19:41,72.49
15/08/2024 07:31,11
15/08/2024 07:38,37.4
15/08/2024 07:39,71.5
15/08/2024 07:41,24.09
15/08/2024 07:52,17.6
15/08/2024 08:53,14.3
15/08/2024 08:53,35.2
15/08/2024 09:03,14.3
15/08/2024 09:11,14.3
